Hour,Minute,Second,millisecond,Pump,Action
14,5,5,628,Pump 1,Stop
14,5,5,629,Pump 2,Run
14,5,5,730,Pump 1,Pump 1 Stop Response: :
14,5,5,730,Pump 2,Pump 2 Run Response: >
14,5,7,212,Pump 2,Stop
14,5,7,213,Pump 1,Run
14,5,7,304,Pump 2,Pump 2 Stop Response: :
14,5,7,305,Pump 1,Pump 1 Run Response: >
14,5,7,526,Pump 1,Stop
14,5,7,527,Pump 2,Run
14,5,7,628,Pump 1,Pump 1 Stop Response: :
14,5,7,628,Pump 2,Pump 2 Run Response: >
14,5,9,109,Pump 2,Stop
14,5,9,110,Pump 1,Run
14,5,9,211,Pump 2,Pump 2 Stop Response: :
14,5,9,212,Pump 1,Pump 1 Run Response: >
14,5,9,424,Pump 1,Stop
14,5,9,424,Pump 2,Run
14,5,9,525,Pump 1,Pump 1 Stop Response: :
14,5,9,525,Pump 2,Pump 2 Run Response: >
14,5,11,6,Pump 2,Stop
14,5,11,6,Pump 1,Run
14,5,11,108,Pump 2,Pump 2 Stop Response: :
14,5,11,108,Pump 1,Pump 1 Run Response: >
14,5,11,330,Pump 1,Stop
14,5,11,331,Pump 2,Run
14,5,11,422,Pump 1,Pump 1 Stop Response: :
14,5,11,422,Pump 2,Pump 2 Run Response: >
14,5,12,905,Pump 2,Stop
14,5,12,909,Pump 1,Run
14,5,13,12,Pump 2,Pump 2 Stop Response: :
14,5,13,13,Pump 1,Pump 1 Run Response: >
14,5,13,226,Pump 1,Stop
14,5,13,227,Pump 2,Run
14,5,13,329,Pump 1,Pump 1 Stop Response: :
14,5,13,330,Pump 2,Pump 2 Run Response: >
14,5,14,807,Pump 2,Stop
14,5,14,808,Pump 1,Run
14,5,14,911,Pump 2,Pump 2 Stop Response: :
14,5,14,911,Pump 1,Pump 1 Run Response: >
14,5,15,124,Pump 1,Stop
14,5,15,125,Pump 2,Run
14,5,15,227,Pump 1,Pump 1 Stop Response: :
14,5,15,227,Pump 2,Pump 2 Run Response: >
14,5,16,714,Pump 2,Stop
14,5,16,715,Pump 1,Run
14,5,16,811,Pump 2,Pump 2 Stop Response: :
14,5,16,811,Pump 1,Pump 1 Run Response: >
14,5,17,24,Pump 1,Stop
14,5,17,26,Pump 2,Run
14,5,17,129,Pump 1,Pump 1 Stop Response: :
14,5,17,129,Pump 2,Pump 2 Run Response: >
14,5,18,615,Pump 2,Stop
14,5,18,616,Pump 1,Run
14,5,18,708,Pump 2,Pump 2 Stop Response: :
14,5,18,708,Pump 1,Pump 1 Run Response: >
14,5,18,931,Pump 1,Stop
14,5,18,932,Pump 2,Run
14,5,19,24,Pump 1,Pump 1 Stop Response: :
14,5,19,25,Pump 2,Pump 2 Run Response: >
14,5,19,702,Pump 1,Stop
14,5,19,702,Pump 2,Stop
